.......ap57..........     .......ap90..........
     3 aMS                   3 aMS         
    20 aMh                  19 aMh         
    31 ak                   30 ak          
   137 akz                 117 akz         
   205 ag                  180 ag          
   214 agadyati            188 agadyati    
   267 aG                  235 aG          
   271 aGAyati             238 aGAyati     
   280 aNk                 247 aMk         
   302 aNK                 268 aMK         
   303 aNg                 269 aMg         
   336 aNgIkf              299 aMgIkf      
   347 aNG                 310 aMG         
   353 ac                  314 ac          
   393 aj                  351 aj          
   474 aYc                 426 aMc         
   478 aYj                 430 aMj         
   501 aw                  449 aw          
   510 aww                 458 aww         
   519 aW                  466 aW          
   521 aq                  468 aq          
   524 aqq                 469 aqq         
   527 aR                  472 aR          
   538 aRUBU               482 aRUBU       
   539 aRW                 483 aMW         
   545 at                  489 at          
   582 atikram             520 atikram     
   593 atigam              529 atigam      
   605 atigrah             539 atigrah     
   611 aticar              545 aticar      
   625 atijIv              557 atijIv      
   631 atitF               563 atitF       
   640 atidiS              572 atidiS      
   657 atipat              586 atipat      
   665 atipad              594 atipad      
   690 atiBU               616 atiBU       
   746 ativah              664 ativah      
   758 ativft              676 ativft      
   776 atiSI               691 atiSI       
   789 atizWA              704 atizWA      
   791 atisanDA            706 atisaMDA    
   799 atisf               714 atisf       
   803 atisfj              718 atisfj      
   811 atihastayati        725 atihastayati
   812 atI                 726 atI         
   892 aTaryati            798 aTaryati    
   903 ad                  809 ad          
   928 adasyati            832 adasyati    
  1011 aDarIkf             907 aDarIkf     
  1012 aDarIBU             908 aDarIBU     
  1036 aDikf               928 aDikf       
  1048 aDikram             940 aDikram     
  1051 aDikzip             943 aDikzip     
  1053 aDigam              945 aDigam      
  1060 aDicar              952 aDicar      
  1076 aDinI               967 aDinI       
  1115 aDiruh             1001 aDiruh      
  1123 aDivac             1008 aDivac      
  1127 aDivas             1012 aDivas      
  1131 aDivAs             1016 aDivAs      
  1138 aDivid             1023 aDivid      
  1143 aDiSI              1028 aDiSI       
  1145 aDiSri             1030 aDiSri      
  1151 aDizWA             1036 aDizWA      
  1157 aDI                1042 aDI         
  1202 aDyavaso           1085 aDyavaso    
  1211 aDyas              1093 aDyas       
  1214 aDyAkram           1096 aDyAkram    
  1220 aDyAruh            1101 aDyAruh     
  1228 aDyAs              1108 aDyAs       
  1240 aDyUh              1116 aDyUh       
  1250 aDvarIyati         1126 aDvarIyati  
  1255 an                 1130 an          
  1653 anukaT             1490 anukaT      
  1656 anukamp            1493 anukaMp     
  1671 anukUlayati        1507 anukUlayati 
  1673 anukf              1508 anukf       
  1684 anukfpAyate        1517 anukfpAyate 
  1685 anukfz             1518 anukfz      
  1689 anukxp             1521 anukxp      
  1694 anukrand           1526 anukraMd    
  1696 anukram            1528 anukram     
  1699 anukruS            1531 anukruS     
  1705 anuKyA             1536 anuKyA      
  1708 anugam             1539 anugam      
  1715 anugarj            1546 anugarj     
  1725 anuguRayati        1555 anuguRayati 
  1727 anugE              1557 anugE       
  1731 anugrah            1560 anugrah     
  1737 anuGaww           ---------------
  1738 anucar             1566 anucar      
  1744 anucint            1572 anuciMt     
  1749 anujan             1577 anujan      
  1753 anujIv             1580 anujIv      
  1756 anujYA             1583 anujYA      
  1762 anutap             1589 anutap      
  1772 anutUlayati        1599 anutUlayati 
  1774 anutF              1601 anutF       
  1796 anudA              1621 anudA       
  1803 anudiS             1627 anudiS      
  1806 anudfS             1630 anudfS      
  1821 anudru             1642 anudru      
  1826 anuDAv             1647 anuDAv      
  1829 anuDyE             1649 anuDyE      
  1834 anunad             1654 anunad      
  1837 anunand           ---------------
  1844 anunI              1662 anunI       
  1859 anupaW             1676 anupaW      
  1862 anupat             1679 anupat      
  1866 anupad             1683 anupad      
  1904 anupA              1719 anupA       
  1907 anupA              1722 anupA       
  1934 anuprayuj          1742 anuprayuj   
  1939 anupraviS          1745 anupraviS   
  1943 anuprasad          1749 anuprasad   
  1947 anuprAR            1752 anuprAR     
  1949 anuprAp            1754 anuprAp     
  1953 anuplu             1758 anuplu      
  1955 anubanD            1760 anubaMD     
  1964 anubuD             1768 anubuD      
  1974 anuBuj             1777 anuBuj      
  1976 anuBU              1779 anuBU       
  1985 anuBf              1787 anuBf       
  1988 anumad             1790 anumad      
  1991 anuman             1793 anuman      
  1996 anumantr           1798 anumaMtr    
  2002 anumA              1802 anumA       
  2014 anumud             1813 anumud      
  2017 anumf              1816 anumf       
  2020 anuyA              1818 anuyA       
  2028 anuyuj             1826 anuyuj      
  2038 anuraYj            1834 anuraMj     
  2057 anurud             1851 anurud      
  2059 anuruD             1853 anuruD      
  2064 anuruh            ---------------
  2071 anulip             1862 anulip      
  2077 anulomayati        1868 anulomayati 
  2082 anuvac             1873 anuvac      
  2092 anuvad             1883 anuvad      
  2099 anuvas             1889 anuvas      
  2100 anuvas            ---------------
  2106 anuvAs             1895 anuvAs      
  2109 anuvid             1898 anuvid      
  2114 anuviDA            1901 anuviDA     
  2118 anuvinaS           1904 anuvinaS    
  2120 anuviS             1906 anuviS      
  2126 anuvft             1911 anuvft      
  2137 anuvyaD            1922 anuvyaD     
  2144 anuvraj            1929 anuvraj     
  2153 anuSAs             1937 anuSAs      
  2161 anuSI              1943 anuSI       
  2169 anuSuc             1949 anuSuc      
  2173 anuSru             1953 anuSru      
  2177 anuzaYj            1956 anuzaMj     
  2187 anuzwuB            1965 anuzwuB     
  2189 anuzWA             1967 anuzWA      
  2217 anusaMsTA         ---------------
  2204 anusaMcar          1981 anusaMcar   
  2206 anusaMtan          1983 anusaMtan   
  2208 anusaMDA           1985 anusaMDA    
  2213 anusami            1990 anusami     
  2227 anusf              1999 anusf       
  2236 anusfp             2007 anusfp      
  2247 anuspfS           ---------------
  2250 anusmf             2019 anusmf      
  2257 anuhuNkf           2027 anuhuMkf    
  2259 anuhf              2029 anuhf       
  2269 anUjji            ---------------
  2303 anekIkf            2069 anekIkf     
  2327 ant                2092 aMt         
  2341 antarayati         2106 aMtarayati  
  2345 antari             2110 aMtari      
  2352 antargam           2117 aMtargam    
  2354 antarDA            2119 aMtarDA     
  2360 antarBU            2125 aMtarBU     
  2378 and                2140 aMd         
  2382 andolayati         2144 aMdolayati  
  2384 anD                2146 aMD         
